ISOCode,Year,EnergyTypeID,ElectricityGenerationTWH,ElectricityGenerationPerPerson,ShareOfElectricityGenerated
DZA,2018,2,0.93,2.2181406314516888e-08,1.2896963
DZA,2018,3,70.4,1.6791086070343967e-06,97.628624
DZA,2018,4,0.0,0.0,0.0
DZA,2018,5,0.12,2.8621169438086303e-09,0.16641243
DZA,2018,6,0.65,1.550313344563008e-08,0.9014006
DZA,2018,7,0.01,2.385097453173859e-10,0.013867702
DZA,2019,1,0.0,0.0,0.0
DZA,2019,2,0.92,2.1542957171758157e-08,1.1996349
DZA,2019,3,74.93,1.7545801966085206e-06,97.70504
DZA,2019,4,0.0,0.0,0.0
DZA,2019,5,0.15,3.512438669308395e-09,0.19559266
DZA,2019,6,0.68,1.5923055300864727e-08,0.8866866
DZA,2019,7,0.01,2.3416257795389303e-10,0.013039509
DZA,2020,1,0.0,0.0,0.0
DZA,2020,2,0.25,5.753519059383405e-09,0.3437371
DZA,2020,3,71.76,1.6514901108054126e-06,98.6663
DZA,2020,4,0.0,0.0,0.0
DZA,2020,5,0.05,1.150703811876681e-09,0.068747416
DZA,2020,6,0.66,1.518929031677219e-08,0.90746593
DZA,2020,7,0.01,2.301407623753362e-10,0.013749484
DZA,2021,1,0.0,0.0,0.0
DZA,2021,2,0.25,5.658929868293613e-09,0.32245582
DZA,2021,3,76.37,1.7286898961663332e-06,98.503815
DZA,2021,4,0.0,0.0,0.0
DZA,2021,5,0.09,2.037214752585701e-09,0.1160841
DZA,2021,6,0.81,1.833493277327131e-08,1.0447569
DZA,2021,7,0.01,2.2635719473174455e-10,0.012898233
ASM,2000,1,0.0,0.0,0.0
ASM,2000,2,0.16,2.746733961648727e-06,100.0
ASM,2000,3,0.0,0.0,0.0
ASM,2000,4,0.0,0.0,0.0
ASM,2000,5,0.0,0.0,0.0
ASM,2000,6,0.0,0.0,0.0
ASM,2000,7,0.0,0.0,0.0
ASM,2001,1,0.0,0.0,0.0
ASM,2001,2,0.16,2.7424496931884406e-06,100.0
ASM,2001,3,0.0,0.0,0.0
ASM,2001,4,0.0,0.0,0.0
ASM,2001,5,0.0,0.0,0.0
ASM,2001,6,0.0,0.0,0.0
ASM,2001,7,0.0,0.0,0.0
ASM,2002,1,0.0,0.0,0.0
ASM,2002,2,0.17,2.920962199312715e-06,100.0
ASM,2002,3,0.0,0.0,0.0
ASM,2002,4,0.0,0.0,0.0
ASM,2002,5,0.0,0.0,0.0
ASM,2002,6,0.0,0.0,0.0
ASM,2002,7,0.0,0.0,0.0
ASM,2003,1,0.0,0.0,0.0
ASM,2003,2,0.18,3.105482902591353e-06,99.99999
ASM,2003,3,0.0,0.0,0.0
ASM,2003,4,0.0,0.0,0.0
