ISOCode,Year,AnnualGasemissions
EGY,1882,6634294.0
EGY,1883,6822186.0
EGY,1884,6971835.0
EGY,1885,7138882.5
EGY,1886,7302227.0
EGY,1887,7462556.0
EGY,1888,7621027.0
EGY,1889,7778119.0
EGY,1890,7906051.5
EGY,1891,8013817.0
EGY,1892,8129463.5
EGY,1893,8249021.5
EGY,1894,8370725.0
EGY,1895,8493757.0
EGY,1896,8630348.0
EGY,1897,8770007.0
EGY,1898,8925248.0
EGY,1899,9090567.0
EGY,1900,9262070.0
EGY,1901,9427861.0
EGY,1902,9612384.0
EGY,1903,9797319.0
EGY,1904,10001671.0
EGY,1905,10211872.0
EGY,1906,10431297.0
EGY,1907,10665236.0
EGY,1908,10900921.0
EGY,1909,11139529.0
EGY,1910,11393904.0
EGY,1911,11648754.0
EGY,1912,11989323.0
EGY,1913,12183819.0
EGY,1914,12673978.0
EGY,1915,12756982.0
EGY,1916,13124333.0
EGY,1917,13692267.0
EGY,1918,14513693.0
EGY,1919,14527347.0
EGY,1920,14392324.0
EGY,1921,14760621.0
EGY,1922,14984695.0
EGY,1923,15180708.0
EGY,1924,15499391.0
EGY,1925,15853637.0
EGY,1926,16105204.0
EGY,1927,16424719.0
EGY,1928,17064484.0
EGY,1929,17377762.0
EGY,1930,17749080.0
EGY,1931,18016844.0
EGY,1932,18213338.0
EGY,1933,18364640.0
EGY,1934,18554836.0
EGY,1935,18686906.0
EGY,1936,18887452.0
EGY,1937,19014246.0
EGY,1938,19404044.0
EGY,1939,21313756.0
EGY,1940,22616456.0
EGY,1941,24161650.0
EGY,1942,24503040.0
EGY,1943,25471448.0
EGY,1944,26497118.0
EGY,1945,27222814.0
EGY,1946,27794992.0
EGY,1947,28785946.0
EGY,1948,31751396.0
EGY,1949,34087160.0
EGY,1950,39453416.0
EGY,1951,40886550.0
EGY,1952,41319250.0
EGY,1953,40870310.0
EGY,1954,42673350.0
EGY,1955,41438156.0
EGY,1956,40736836.0
EGY,1957,44243044.0
EGY,1958,47568400.0
EGY,1959,47270690.0
EGY,1960,51454790.0
EGY,1961,52186860.0
EGY,1962,54384964.0
EGY,1963,60556200.0
EGY,1964,68182960.0
EGY,1965,72239630.0
EGY,1966,70051160.0
EGY,1967,62477190.0
EGY,1968,67519370.0
EGY,1969,61487996.0
EGY,1970,60699320.0
EGY,1971,62138150.0
EGY,1972,62580956.0
EGY,1973,59356856.0
